Design Overall_Error_Sin Overall_Error_Cos Latency BRAM DSP FF LUT
/----------------------for double -----------------/
float_iter_1 438.402 438.402 2 0 0 132 535 	
float_iter_5 16.2002 16.2007 362 2 3 5235 6559 	
float_iter_10 0.711171 0.71117 722 2 3 5237 6562 	
float_iter_15 0.00582526 0.00582526 1082 2 3 5237 6562 	
float_iter_20 0.000590849 0.000590849 1442 2 3 5239 6565 	
float_iter_25 0.00106977 0.000652305 1802 2 3 5239 6565 	
float_iter_30 0.00110675 0.000637572 2162 2 3 5239 6565 

/--------------- using cordic tab for double------------------/	
float_iter_1 438.402 438.402 2 0 0 132 535 	
float_iter_5 16.2007 16.2002 362 2 3 5235 6560 	
float_iter_10 0.71117 0.711171 722 2 3 5237 6563 	
float_iter_15 0.00582526 0.00582526 1082 2 3 5237 6563 	
float_iter_20 0.000590849 0.000590849 1442 2 3 5239 6566 	
float_iter_25 3.92623e-05 3.92622e-05 1802 2 3 5239 6566 	
float_iter_30 1.29498e-06 1.29497e-06 2162 2 3 5239 6566 	

/-------------------for float -----------------------------/
float_iter_1 438.402 438.402 2 0 0 68 273 	
float_iter_5 16.2007 16.2002 212 1 2 1896 2512 	
float_iter_10 0.71117 0.711163 422 1 2 1898 2515 	
float_iter_15 0.00582344 0.00582053 632 1 2 1898 2515 	
float_iter_20 0.000591392 0.000594482 842 1 2 1900 2518 	
float_iter_25 4.08994e-05 7.91458e-05 1052 1 2 1900 2518 	
float_iter_30 2.09269e-05 0.000112516 1262 1 2 1900 2518 	

/------------- fixed point <32,28>---------------------/

